heroId,kda,gpm,xpm,damageDealt,damageTaken,towerDamage,controlDuration,wardPlanted,wardDestroyed
tusk,10.5,545,594,18722,12979,1172,7465,2,1
shadow_demon,7.75,422,608,21546,11154,3034,1313,9,7
queenofpain,34.0,700,922,46331,12739,4672,4492,3,0
rattletrap,5.0,358,677,17986,19940,212,4501,6,4
dark_seer,36.0,512,707,15567,13797,1815,5334,0,0
medusa,30.0,925,907,38329,1325,14512,7505,0,0
terrorblade,1.67,575,513,16770,28894,1349,4603,0,1
kunkka,1.14,424,417,10496,34800,24,10829,1,0
snapfire,1.11,329,356,10800,24249,0,2770,8,4
spirit_breaker,1.0,303,526,7832,27152,0,7284,9,4
pangolier,0.75,373,370,13057,24664,725,5020,0,0
bloodseeker,0.6,480,546,13235,16070,953,6859,0,1
pangolier,3.0,594,725,16480,18655,516,8932,2,0
pugna,1.14,253,330,11201,16787,1505,8652,8,2
windrunner,2.2,430,454,7297,20125,1696,14325,0,2
pudge,3.4,326,353,13985,19350,0,10966,8,2
shredder,19.0,636,841,19694,24731,427,12437,0,0
puck,8.5,626,849,23208,11023,758,3203,2,1
medusa,16.0,939,877,28678,1790,16578,3471,0,0
techies,2.83,340,507,9573,12268,1797,2428,5,0
silencer,2.38,326,521,9834,12386,738,4305,12,5
doom_bringer,4.0,497,628,9060,16984,1008,2077,2,0
skywrath_mage,11.0,332,651,8830,6809,670,709,10,7
batrider,26.0,698,868,17104,11556,635,1943,3,0
dark_seer,11.0,521,650,10109,15353,2950,2304,0,0
templar_assassin,26.0,877,963,34942,9080,17298,2556,0,0
medusa,1.6,614,627,21249,3377,752,7805,0,0
ember_spirit,0.67,407,526,10910,15566,254,11125,2,0
tidehunter,0.29,362,448,6053,28234,808,4374,0,0
techies,1.33,251,252,13194,13783,0,8697,4,2
enchantress,0.89,220,231,8376,17482,2555,6601,7,3
void_spirit,2.0,416,510,25195,25202,581,4106,1,0
bounty_hunter,1.1,229,327,7295,23455,18,1128,11,2
silencer,2.4,218,295,16085,12405,40,2348,8,5
batrider,1.5,448,524,22146,25381,135,2640,0,0
medusa,1.0,708,634,17365,6331,6084,3388,0,1
keeper_of_the_light,9.0,391,553,11876,8971,220,7333,4,2
storm_spirit,6.0,586,654,16558,16831,2966,15172,0,0
techies,5.4,371,555,15627,10977,1759,6604,15,4
morphling,22.0,842,815,27818,21761,27053,15190,0,0
spirit_breaker,10.0,629,818,20895,29546,914,12907,0,2
ember_spirit,8.25,577,784,74490,45808,2856,30744,2,1
batrider,2.21,490,678,43147,62220,237,18561,0,1
medusa,3.71,715,719,64897,15814,25655,19997,0,1
rubick,3.5,370,511,22082,27503,223,8435,18,4
bounty_hunter,2.0,342,572,13928,46072,75,20073,7,1
silencer,4.0,424,640,21329,30021,1006,9420,16,10
